DelayedWord,DelayedRT,Studied,StudyPosition,Block,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,,PrimePosition,PrimeBlock
TIRED,1499.43,Studied,26,1,NA,19,Related,DENIM,JEANS,NA,unrelated,,
UNSURE,1283.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
ORGANIZE,7638.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
DOCTOR,5082.225,Studied,13,4,NA,8,Identical,FAKE,NA,NA,unrelated,,
,7999.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
JA,8002.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
JACKET,1465.4,Studied,1,2,NA,9,Related,SALAD,LETTUCE,NA,unrelated,,
,8001.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BOSS,7315.695,Studied,28,1,NA,11,Related,CAUSE,EFFECT,NA,unrelated,,
BANK,2386.47,Studied,10,1,NA,12,Identical,GLASSES,NA,NA,unrelated,,
SLIDE,1066.83,Studied,27,3,Identical,23,Identical,MANY,NA,NA,identical ,22,3
,8001.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MAID,5933.675,Studied,35,1,NA,3,Related,DIGNITY,PRIDE,NA,unrelated,,
,8000.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7996.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7994.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7994.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7998.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7998.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
COOK,2879.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8002.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8001.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8020.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7996.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
TRAP,6407.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8022.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8001.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8001.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7998.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7993.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8001.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8001.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8001.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,4198.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
