Target,Item Number,Prime,FSG,LgSUBTLEX,BSG
ONCE,189,TWICE,0.264,4.245,0.612
OVEN,190,TOASTER,0.467,2.657,0
LARGE,191,MEDIUM,0.432,3.325,0
GLASSES,192,LENS,0.553,3.228,0.02
WANT,193,DESIRE,0.61,5.148,0.278
ALLOW,194,PERMIT,0.345,3.355,0.161
FRONT,195,BACK,0.52,3.967,0.715
SOFT,196,HARD,0.564,3.213,0.509
BOSS,197,MANAGER,0.284,3.802,0.064
EFFECT,198,CAUSE,0.356,3.086,0.349
TIRED,199,BORED,0.386,3.759,0.034
SMALL,200,SHRINK,0.486,3.804,0
LETTER,201,MAIL,0.245,3.625,0.142
JEANS,202,DENIM,0.815,2.529,0.047
FIRE,203,BLAZE,0.808,4.041,0
BALL ,204,BOUNCE,0.538,3.729,0.06
CASTLE,205,MOAT,0.32,3.041,0.084
CAKE,206,BAKE,0.402,3.361,0.033
MAD,207,ANGER,0.412,3.762,0
SLEEP,208,DOZE,0.682,4.065,0
MAID,209,SERVANT,0.386,3.066,0.145
CARRY,210,HAUL,0.226,3.527,0.014
COLLECT,211,GATHER,0.331,3.009,0.285
JACKET,212,VEST,0.3,3.232,0
FIND,213,SEARCH,0.491,4.627,0.022
SICK,214,VIRUS,0.351,3.926,0
STRANGE,215,BIZZARE,0.345,3.644,0.02
TREE,216,ACORN,0.374,3.521,0
LETTUCE,217,SALAD,0.299,2.24,0.278
GAME,218,CHESS,0.362,4.077,0
MAYBE,219,MIGHT,0.209,4.674,0.026
MUSIC ,220,BAND,0.432,3.889,0.02
TALK,221,DISCUSS,0.689,4.639,0.016
FOOD,222,GOURMET,0.357,3.896,0
CLEAR,223,CLARIFY,0.544,3.943,0
CHURCH,224,CHAPEL,0.621,3.551,0
DRESS,225,GOWN,0.353,3.648,0
LAUGH,226,GIGGLE,0.78,3.506,0.027
YEAR,227,DECADE,0.385,4.152,0
SWORD,228,SABER,0.333,3.126,0.083
BOARD,229,CHALK,0.694,3.515,0.113
STREET,230,MAIN,0.315,3.878,0.013
HAIR,231,LICE,0.372,3.894,0.011
STICKY,232,GLUE,0.371,2.467,0.185
TAKE,233,SEIZE,0.327,4.984,0
LOSE,234,GAIN,0.378,3.923,0.047
BELL,235,CHIME,0.36,3.303,0
HEAR,236,LISTEN,0.506,4.452,0.322
DESERT,237,CAMEL,0.277,3.155,0
MAGIC,238,WAND,0.466,3.429,0.102
HAPPY,239,DELIGHT,0.367,4.23,0.367
LOVE,240,ADORE,0.565,4.755,0.011
ROOF,241,CEILING,0.35,3.26,0.173
CHOOSE,242,PICK,0.304,3.389,0.439
VOLCANO,243,ERUPT,0.641,2.233,0.525
WARM,244,HEATER,0.253,3.425,0
BREAK,245,SHATTER,0.419,4.052,0.044
SHIP,246,CAPTAIN,0.392,3.703,0
NONE,247,ZERO,0.338,3.751,0.25
STORE,248,SHOP,0.391,3.621,0.177
PROBLEM,249,DILEMMA,0.614,4.226,0
SOUR,250,TART,0.25,2.474,0.034
SING,251,CHOIR,0.413,3.697,0.028
SMELL,252,PERFUME,0.393,3.627,0.036
DRUGS,253,ADDICT,0.691,3.392,0.028
TOCK,254,TICK,0.346,,
SILVER,255,TARNISH,0.317,3.209,0
WRONG,256,IMMORAL,0.27,4.426,0
VOTE,257,BALLOT,0.518,3.244,0.051
SPIT,258,SALIVA,0.365,2.995,0.263
RAIN,259,HAIL,0.27,3.397,0.019
STAMP,260,POSTAGE,0.74,2.481,0.029
RENT,261,LEASE,0.349,3.246,0.095
STRIPE,262,ZEBRA,0.455,1.875,0.045
POTATO,263,GRAVY,0.313,2.761,0.014
THIN,264,THICK,0.682,3.013,0.084
DEATH,265,BIRTH,0.341,4.043,0.024
PACKAGE,266,PARCEL,0.384,3.066,0.028
REAL,267,GENUINE,0.324,4.354,0.029
ANNOY,268,BOTHER,0.597,2.111,0.356
DRAW,269,SKETCH,0.764,3.314,0.108
PIECE,270,PART,0.264,3.803,0.183
BUSH,271,HEDGE,0.309,2.858,0.032
EXCUSE,272,PARDON,0.348,4.274,0.088
CLOWN,273,CIRCUS,0.594,2.907,0.237
PURPOSE,274,INTENT,0.188,3.253,0.028
SHALLOW,275,DEEP,0.307,2.48,0.399
SAME,276,DIFFER,0.458,4.328,0
CARD,277,CHARGE,0.479,3.639,0
MARRY,278,ENGAGE,0.393,3.726,0.033
KNIFE,279,BLADE,0.346,3.378,0.122
PLANE ,280,AIRPORT,0.757,3.688,0
EXACT,281,PRECISE,0.514,3.063,0.386
DISAGREE,282,AGREE,0.393,2.53,0.264
MANY,283,SEVERAL,0.591,4.263,0.021
SCISSORS,284,SHEARS,0.561,2.534,0
THANKS,285,PLEASE,0.291,4.502,0
TOOL,286,PLIERS,0.473,2.74,0
HATE,287,DISLIKE,0.6,4.039,0.034
YOUNG,288,YOUTH,0.349,4.093,0.014
CHILD,289,ADULT,0.459,3.905,0.101
a,290,TRACTOR,0.326,2.763,0.034
QUIET,291,SILENCE,0.413,3.777,0
SLIDE,292,glide,0.215,2.959,0.014
SHERIFF,293,DEPUTY,0.679,3.494,0.167
NECK,294,THROAT,0.288,3.482,0.091
NIGHTS,295,DAYS,0.368,3.237,0
GUILT,296,SHAME,0.345,2.881,0
BRAIN,297,MIND,0.371,3.594,0.039
STRESS,298,TENSION,0.48,2.901,0.071
CLASS,299,SESSION,0.308,3.777,0
MATH,300,ALGEBRA,0.655,2.923,0.061
TOWN,301,CITY,0.307,4.102,0.529
BIKE,302,PEDAL,0.544,3.121,0.047
HEAD,303,SKULL,0.496,4.039,0
RULE,304,POLICY,0.392,3.39,0.014
SUBJECT,305,TOPIC,0.385,3.276,0.09
WOOD,306,TIMBER,0.41,3.139,0
LIGHT,307,BEAM,0.454,3.926,0
PENNY,308,CENT ,0.486,3.093,0
BABY,309,INFANT,0.746,4.415,0.045
MOVE,310,SHIFT,0.324,4.329,0.011
TOOTH,311,CAVITY,0.543,2.841,0.043
STEAL,312,THEFT,0.313,3.435,0
UNDER,313,BENEATH,0.569,4.126,0.074
MILK,314,GALLON,0.297,3.337,0
GRAND,315,CANYON,0.483,3.507,0.095
SHEEP,316,LAMB,0.333,2.836,0.162
EXPLODE,317,IMPLODE,0.51,2.699,0.056
FAKE,318,PHONY,0.467,3.268,0.062
WRITE,319,ESSAY,0.336,3.811,0.011
STUPID,320,DUMB,0.526,3.973,0.593
TOUCH,321,CARESS,0.355,3.877,0
BREAD,322,LOAF,0.552,3.16,0.051
REPEAT,323,AGAIN,0.336,3.227,0.289
GRAVE,324,TOMB,0.236,3.127,0.011
SHIRT,325,BLOUSE,0.647,3.374,0.135
ROSE,326,THORN,0.42,3.432,0.048
ARMS,327,LEGS,0.541,3.484,0.549
SKIN,328,GRAFT,0.291,3.352,0
KNIT,329,YARN,0.386,1.991,0.203
STING,330,WASP,0.365,2.555,0.022
SELF,331,ESTEEM,0.584,2.859,0.028
CLIMB,332,LADDER,0.338,3.003,0.047
SPOTS,333,LEOPARD,0.245,2.723,0
PROPER,334,PRIM,0.603,3.111,0.041
CELL,335,SICKLE,0.265,3.443,0
DOCTOR,336,PATIENT,0.365,4.129,0.025
