"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"NINE","z",1.43627,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"STEAL","z",1.378925,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"NONE","z",0.700545,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"STORY","slash",0.66152,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",36,2,NA,NA,"28","91"
"NIGHTS","z",0.82946,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"BIKE","z",1.511615,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SNEEZE","slash",0.978055,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"JEANS","z",0.83352,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"HAIR","z",1.56738,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"DOOR","z",2.729235,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"ENTER","slash",0.861295,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",6,1,NA,NA,"3","61"
"DISAGREE","z",0.86563,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"THERE","slash",0.883845,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",5,1,NA,NA,"16,1","21"
"RIGHT","slash",0.88403,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",29,2,NA,NA,"33","29"
"BRANCH","slash",0.93351,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",13,4,NA,NA,NA,NA
"WEIGHT","slash",1.116555,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",21,2,NA,NA,NA,NA
"EXACT","z",1.04997,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"SHEEP","z",0.928105,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"ALIVE","slash",2.185115,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",30,4,"Identical",NA,NA,NA
"BRIDE","slash",0.85123,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",6,3,NA,NA,"5",NA
"EFFECT","",NA,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CHURCH","z",1.43812,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"FRIGHT","slash",2.16169,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",39,2,NA,NA,NA,NA
"SHOVE","slash",0.8522,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",18,1,"Identical",NA,"29",NA
"PLANE ","slash",0.91708,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
