"DelayedWord","DelayedRT","Studied","StudyPosition","Block","PrimeCondition","Day1OutputPosition","PrimedRelated"
"STORY",1883.315,"Studied",36,2,NA,"28",NA
"NEWPHEW",2818.265,NA,NA,NA,NA,NA,NA
"NEPHEW",2649.535,"Studied",37,2,NA,"29,34",NA
"",8001.495,NA,NA,NA,NA,NA,NA
"",8000.585,NA,NA,NA,NA,NA,NA
"",7998.805,NA,NA,NA,NA,NA,NA
"",8000.35,NA,NA,NA,NA,NA,NA
"",8000.35,NA,NA,NA,NA,NA,NA
"EMPTY",4799.465,NA,NA,NA,NA,NA,NA
"CLOSE",6134.3,"Studied",1,1,NA,"1",NA
"FOUND",1665.755,"Studied",2,1,NA,"2",NA
"",8000.41,NA,NA,NA,NA,NA,NA
"",8001.02,NA,NA,NA,NA,NA,NA
"",8000.235,NA,NA,NA,NA,NA,NA
