"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"SILK","z",0.93769,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"DEATH","slash",1.013855,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"ROOF","slash",1.2151,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"EFFECT","z",1.088005,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"RENT","slash",1.01216,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"BORROW","slash",0.90435,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",19,1,NA,NA,"9",NA
"LEMON","slash",0.9727,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",3,2,NA,NA,NA,NA
"DIRT","z",1.077995,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",1,4,NA,NA,NA,NA
"BELL","z",1.747085,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"STORY","slash",1.084955,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",12,3,NA,NA,NA,NA
"WARM","slash",0.83657,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"HAPPY","slash",1.02052,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CORAL","z",1.271305,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",40,2,NA,NA,"1",NA
"CLOSE","slash",1.25511,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",39,2,NA,NA,NA,NA
"LIGHT","slash",1.393495,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"SHEETS","slash",1.427725,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",19,3,NA,NA,NA,NA
"MOST","slash",3.05528,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",14,1,NA,NA,NA,NA
