"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"GLASSES",7990.775,"Studied",40,2,"Identical","34","Related","CAUSE","EFFECT",NA
"SHIRT",7992.41,"Studied",8,1,"Identical","8","Unrelated","PICKLE",NA,NA
"WRITE",1087.435,"Studied",1,1,NA,"1","firstword","firstword",NA,NA
"TOWN",1671.12,"Studied",2,1,NA,"2","Unrelated","RIGHT",NA,NA
"HEAD",1287.785,"Studied",3,1,NA,"3","Related","LEGS","ARMS",NA
"ARMS",2155.29,"Studied",4,1,NA,"4","Related","PATIENT","DOCTOR","LEGS"
"FAKE",1565.805,"Studied",5,1,NA,"5","Unrelated","CLAM",NA,NA
"REPEAT",7990.45,"Studied",6,1,NA,"6","Unrelated","STREAM",NA,NA
"BRAIN",3961.22,"Studied",9,1,NA,"9","Related","CARESS","TOUCH",NA
"EXPLOSION",2841.83,NA,NA,NA,NA,"10","Identical","BABY",NA,NA
"BABY",1694.105,"Studied",14,1,"Identical","14","Unrelated","GROSS",NA,NA
"SKIN",7999.31,"Studied",12,1,NA,"12","Unrelated","BEACH",NA,NA
"ITCH",4287.935,"Studied",24,2,"Identical","24","Unrelated","LAND",NA,NA
"SUBJECT",2884.525,"Studied",15,1,NA,"15","Unrelated","EGGS",NA,NA
"ROSE",1393.66,"Studied",17,1,NA,"16","Related","SHIFT","MOVE",NA
"STING",1420.2,"Studied",18,1,NA,"17","Related","BEAM","LIGHT",NA
"GRAVE",1047.565,"Studied",19,1,NA,"18","Unrelated","GUITAR",NA,NA
"DOCTOR",1638.355,"Studied",20,1,NA,"19","Identical","PENNY",NA,"PATIENT"
"CLIMB",4195.9,"Studied",22,1,NA,"20","Related","DUMB","STUPID",NA
"CELL",1403.17,"Studied",24,1,NA,"22","Unrelated","CHEESE",NA,NA
"BREAD",4781.46,"Studied",23,1,NA,"21","Identical","TOOTH",NA,NA
"PENNY",1002.75,"Studied",25,1,"Identical","24","Related","DAYS","NIGHTS",NA
"LIGHT",1956.475,"Studied",26,1,NA,"25","Identical","RULE",NA,"BEAM"
"WOOD",1387.335,"Studied",27,1,NA,"23","Identical","MATH",NA,NA
"GUILT",2373.36,"Studied",30,1,NA,NA,NA,NA,NA,"SHAME"
"SHEEP",4180.525,"Studied",28,1,NA,"26","Identical","KNIT",NA,NA
"MOVE",1208.325,"Studied",29,1,NA,"27","Unrelated","FLOWER",NA,"SHIFT"
"TOWER",1921.05,NA,NA,NA,NA,"36","Identical","EXPLODE",NA,NA
"TOOTH",2927.48,"Studied",39,1,"Identical","28","Related","SHAME","GUILT",NA
"SPOT",5299.095,NA,NA,NA,NA,"29","Unrelated","STOP",NA,NA
"STRIPE",4546.955,"Studied",1,4,NA,"1","firstword","firstword",NA,NA
"TOOL",2633.29,"Studied",2,4,NA,"2","Related","AIRPORT","PLANE ",NA
"TRAILER",1940.24,"Studied",4,4,NA,"16","Unrelated","EARLY",NA,"TRACTOR"
"WRONG",2620.735,"Studied",3,4,NA,"3","Related","THROAT","NECK",NA
"MANY",4094.025,"Studied",9,4,NA,"6","Related","SHEARS","SCISSORS",NA
"RAIN",1487.79,"Studied",7,4,NA,NA,NA,NA,NA,"HAIL"
"DISAGREE",3361.33,"Studied",6,4,NA,"5","Related","TRACTOR","TRAILER",NA
"STAMP",5499.685,"Studied",8,4,NA,"7","Identical","QUIET",NA,NA
"DRUGS",7990.315,"Studied",11,4,NA,"8","Related","PARDON","EXCUSE","ADDICT"
"PLANE",4355.35,NA,NA,NA,NA,"12","Unrelated","TEETH",NA,NA
"RENT",4915.555,"Studied",16,4,NA,"11","Related","ENGAGE","MARRY",NA
"TOCK",1400,"Studied",18,4,NA,"13","Identical","THANKS",NA,NA
