DelayedWord,DelayedRT,Studied,StudyPosition,Block,RecalledonDay1,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrime,Prime,PrimePosition,PrimeBlock
WEIGHT,2772.14,Studied,9,2,Recalled,Identical,15,Related,TABLE,CHAIR,NA,identical,WEIGHT,2,2
NUMBER,7997.33,Studied,23,2,Recalled,NA,34,Related,CHOWDER,CLAM,DIGIT,related,DIGIT,30,2
DISGUST,7997.775,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SWEET,7988.77,Studied,8,3,Recalled,NA,13,Unrelated,HELLO,NA,NA,unrelated,HELLO,13,3
BOROW,7989.19,Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,related,LEND,32,4
EXIT,8011.48,Not Studied,NA,NA,Recalled,Related,"27,37",Related,GRANITE,ROCK,NA,unrelated,MOVE,37,2
SOUTH,8011.305,Studied,23,3,Recalled,NA,"17,36",Related,ACRE,LAND,NA,unrelated,COLLECT,36,4
WEST,7988.265,Studied,26,2,Recalled,NA,31,Identical,DAGGER,NA,EAST,related,EAST,3,2
SMILE,7999.41,Studied,15,3,Recalled,Identical,20,Identical,KISS,NA,NA,identical,SMILE,4,3
SAD,7993.63,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
PARTY,7993.89,Not Studied,NA,NA,Recalled,NA,26,Related,GUIDE,TOUR,NA,unrelated,GUIDE,26,4
,7991.155,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
,9713.555,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
,7996.71,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
GRASS,2583.505,Studied,37,1,Recalled,NA,6,Unrelated,DRAW,NA,NA,unrelated,DRAW,6,1
PLANT,5669.235,Studied,9,1,Recalled,NA,7,Related,TROT,HORSE,NA,unrelated,TROT,7,1
READ,8001.13,Studied,11,4,Recalled,NA,11,Related,CENTER,MIDDLE,NA,unrelated,CENTER,11,4
LEND,8002.93,Not Studied,NA,NA,NotRecalled,Related,NA,NA,NA,NA,NA,identical,LEND,32,4
BLACK,8001.895,Studied,24,3,Recalled,NA,8,Related,SUITE,HOTEL,NA,unrelated,SUITE,8,3
STAB,7445.785,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
THREAD,2397.185,Studied,1,4,Recalled,NA,21,Identical,SLOW,NA,NA,unrelated,SLOW,21,4
BUCKET,7989.01,Studied,26,4,Recalled,NA,23,Related,QUENCH,THIRST,PAIL,related,PAIL,6,4
MUSCLE,3712.65,Studied,34,1,Recalled,NA,35,Unrelated,ANNOY,NA,FLEX,related,FLEX,17,1
ZOO,7992.625,Not Studied,NA,NA,Recalled,NA,31,Identical,QUART,NA,NA,unrelated,QUART,31,1
EXPAND,7996.58,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
LAKE,3816.045,Studied,25,3,Recalled,NA,14,Related,CROOK,THIEF,NA,unrelated,CROOK,14,3
BEACH,7992.785,Studied,41,2,Recalled,NA,10,Unrelated,FAKE,NA,NA,unrelated,FAKE,10,2
OCEAN,7997.64,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
,8011.39,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
DIRT,7988.425,Studied,4,3,Recalled,NA,4,Identical,SMILE,NA,NA,unrelated,SMILE,4,3
SHEETS,8003.84,Studied,40,2,Recalled,NA,18,Identical,SMOOTH,NA,NA,unrelated,SMOOTH,18,2
BLANKET,7998.525,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
HONK,7988.225,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,related,HORN,22,2
CLOCK,7992.84,Studied,14,1,Recalled,NA,26,Unrelated,THIN,NA,NA,unrelated,THIN,26,1
ADDRESS,8003.73,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
TRASH,6275.085,Studied,20,3,Recalled,Identical,29,Unrelated,WATER,NA,NA,identical,TRASH,22,3
HUNGER,8004.585,Studied,10,4,Recalled,NA,19,Related,HINT,CLUE,FAMINE,related,FAMINE,14,4
,8006.695,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
FLOWER,7992.36,Studied,31,2,NotRecalled,Identical,NA,NA,NA,NA,NA,identical,FLOWER,7,2
SPEND,7991.17,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
THROW,2096.245,Studied,19,1,NotRecalled,Identical,NA,NA,NA,NA,NA,identical,THROW,37,1
PHONE,3498.555,Studied,13,1,Recalled,NA,"21,30",Identical,THERE,NA,NA,unrelated,LEMON,30,1
CALL,8003.005,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
FOOD,7995.48,Not Studied,NA,NA,NotRecalled,Unrelated,NA,NA,NA,NA,NA,identical,FOOD,13,4
MOVIE,7990.855,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
OPEN,7993.935,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,related,CLOSE,19,1
STREET,7988.225,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
TENNIS,7994.425,Studied,34,4,NotRecalled,NA,NA,NA,NA,NA,RACKET,related,RACKET,8,4
RUN,7998.12,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
,1683.6,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
,8005.795,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
,8000.205,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
