Participant,Prime,Prime_Duration,rt,Response,Accuracy
SG,LEND,116.105,1558.685,LEND,1
SG,TOTALLY,116.5,2414.52,TOTALLY,1
SG,OPTION,116.685,1382.18,OPINION,0
SG,MORAL,116.73,832.705,MORALS,1
CC,CHEER,117.185,1254.09,CHEER,1
CC,STARK,117.18,1217.06,SHARK,0
CC,SPUN,116.49,1200.065,SPUN,1
CC,TOTALLY,116.72,1385.19,TOTALLY,1
CC,LEND,117.63,833.71,LEND,1
CC,REACTOR,116.93,1168.08,FACTOR,0
CC,CEASE,116.09,1001.12,CEASE,1
CC,PIAZZA,116.56,1535.495,PIZZA,0
CC,FOREST,115.72,1181.895,FOREST,1
CC,RESUME,119.02,1483.775,RESUME,1
CC,FREAK,117.27,950.81,SNEAK,0
CC,PEEP,117.535,1132.675,PEEP,1
CC,SPUNK,116.595,449.915,XXXXX,0
CC,EFFIGY,116.51,82.725,XXXXX,0
CC,CORNER,116.61,2467.265,CORNER,1
CC,FAUNA,117.215,99.9500001,XXXXX,0
CC,MUZZLE,116.79,1415.615,MUZZLE,1
CC,WIND,116.365,932.89,WIND,1
CC,SPAN,116.65,1989.005,SPAIN,0
CC,FLAK,116.405,1506.67,FLASH,0
CC,TRAITOR,116.605,1649.96,TRAITOR,1
CC,HOSTEL,115.675,1367.355,HOTEL,0
CC,TRIVIA,116.635,1216.835,TRIVIA,1
CC,VODKA,117.475,934.255,VODKA,1
CC,UNEASY,116.335,1850.145,UNEASY,1
CC,CLAW,115.815,1132.29,CLAWS,1
CC,PULL,116.155,1716.555,PULL,1
CC,MORAL,116.03,1276.335,MORAL,1
CC,LYNX,117.25,283.805,XXXXX,0
CC,DAMAGE,116.445,4150.19,DAMAGE,1
CC,SHAVE,116.62,1315.245,SHAVE,1
CC,ERUPT,116.365,1252.325,ERRUPT,0
CC,SNAP,117.025,1183.495,SNAP,1
CC,OPTION,116.99,1632.455,OPTION,1
CC,SUIT,115.685,1251.145,SUIT,1
CC,CHEAT,115.16,1424.485,CHEAT,1
CC,KEEP,115.285,1182.67,KEEP,1
CC,MIDLAND,117.475,1397.32,MIDLAND,1
CC,VOID,115.64,1132.81,AVOID,1
CC,MEET,116.655,1188.255,MEETS,1
JL,UNEASY,116.525,2349.265,UNEASY,1
JL,VOID,116.485,2800.755,AVOID,1
JL,TRIVIA,116.59,1417.495,TRIVIA,1
JL,FAUNA,116.585,1338.81,FAUN,1
JL,MEET,116.045,1582.735,SWEET,0
JL,MORAL,118.305,1167.82,MORAL,1
JL,SPAN,117.035,1283.89,SPAN,1
JL,OPTION,116.05,1100.305,OPTION,1
JL,WIND,117.52,801.14,WIND,1
JL,EFFIGY,116.065,1349.865,EFFECT,0
JL,TOTALLY,116.73,2267.69,TOTALLY,1
JL,CEASE,116.935,2117.855,RELEASE,0
JL,MUZZLE,116.42,1384.025,MUZZLE,1
JL,TRAITOR,116.91,2089.685,TRAITOR,1
JL,DAMAGE,117.575,1800.52,DAMAGE,1
JL,REACTOR,116.88,766.355,XXXXX,0
JL,FLAK,117.07,451.13,XXXXX,0
JL,FOREST,116.935,2649.865,FOREST,1
JL,CHEAT,116.9,1051.185,CHEAT,1
JL,FREAK,116.475,1166.545,FREAK,1
JL,PULL,116.67,1099.55,PULL,1
JL,SHAVE,116.65,684.025,SHAVE,1
JL,MIDLAND,116.755,2134.535,MIDLAND,1
JL,LEND,115.835,1001.335,LEND,1
JL,KEEP,116.77,2284.985,KEEP,1
JL,SNAP,115.56,1450.995,SNAP,1
JL,VODKA,117.11,933.84,VODKA,1
JL,ERUPT,116.57,1116.69,XXXXX,0
JL,CHEER,117.04,1282.915,SHEET,0
JL,LYNX,117.5,1434.55,XXXXX,0
JL,CORNER,116.77,1233.205,CORNER,1
JL,STARK,117.26,1358.8,SHARK,0
JL,PEEP,117.035,1552.385,CREEP,0
JL,PIAZZA,117.21,1490.87,PIZZA,0
JL,HOSTEL,117.715,2133.065,HOSTEL,1
JL,CLAW,116.13,1183.135,LAW,1
JL,SPUNK,116.955,1560.415,SPUNK,1
JL,SPUN,116.3,300.745,XXXXX,0
JL,RESUME,117.405,2523.765,RESUME,1
JL,SUIT,116.64,732.705,SUIT,1
AP,SHAVE,115.775,2399.295,SHAVE,1
AP,MUZZLE,117.075,2316.765,MUSCLE,0
AP,WIND,117.155,1432.825,WIND,1
AP,TOTALLY,116.675,2916.15,TOTALLY,1
AP,OPTION,117.065,2416.285,OPTION,1
AP,TRIVIA,116.255,1899.85,TRIVIA,1
AP,SUIT,116.77,1102.675,SUIT,1
AP,DAMAGE,116.515,1569.575,DAMAGE,1
AP,PEEP,116.37,2370.78,PEEP,1
AP,LEND,115.965,1219.405,LAND,0
AP,MIDLAND,116.49,1403.605,MIDDLE,0
AP,SPAN,116.85,1136.28,PLAN,0
AP,ERUPT,116.55,2603.245,ERUPT,1
AP,FOREST,116.715,1633.18,FOREST,1
AP,TRAITOR,116.78,3223.44,TRAITOR,1
AP,STARK,116.725,1035.99,STARS,0
AP,VOID,116.175,1984.705,VOID,1
AP,LYNX,116.855,2219.745,LYNX,1
AP,PULL,116.77,1505.11,PULL,1
AP,CORNER,116.74,1253.245,CORNER,1
AP,CHEER,120.515,936.66,CHEER,1
AP,CHEAT,116.97,1635.995,CHEAT,1
AP,FREAK,116.39,1716.755,FREAL,0
AP,VODKA,116.525,1483.325,VODKA,1
AP,SPUNK,116.76,2570.02,SPUNK,1
AP,UNEASY,118.62,1267.515,TUNA,0
AP,RESUME,116.9,2116.515,RESUME,1
AP,FLAK,116.55,1683.025,FLAKE,1
AP,KEEP,116.515,2619.87,KEEP,1
AP,CLAW,115.36,1736.585,CLAW,1
AP,MORAL,116.445,1452.6,MORAL,1
AP,PIAZZA,117.14,1654.39,PIZZA,0
AP,REACTOR,116.79,2216.295,REACTOR,1
AP,HOSTEL,116.125,2132.525,HOSTEL,1
AP,SPUN,116.885,2816.985,SPELL,0
AP,CEASE,116.075,1403.305,CEASE,1
AP,EFFIGY,116.95,1549.285,PIGGY,0
AP,MEET,117.235,1486.74,MEET,1
AP,FAUNA,116.42,1299.77,FAUNA,1
AP,SNAP,116.715,2016.02,SNAP,1
RK2,FAUNA,116.915,1241.74,FAUNA,1
RK2,FOREST,115.82,1616.28,FOREST,1
RK2,MORAL,116.44,1153.545,MORAL,1
RK2,SPUN,119.49,2099.365,SPUN,1
RK2,LEND,118.845,1350.335,LEND,1
RK2,VOID,114.795,1561.615,VOID,1
RK2,DAMAGE,115.715,1530.575,DAMAGE,1
RK2,CEASE,118.735,1244.045,CEASE,1
RK2,RESUME,117.62,1367.18,PRESUME,1
RK2,TRIVIA,117.17,1760.755,TRIVIA,1
RK2,EFFIGY,118.415,1461.265,ENERGY,0
RK2,SHAVE,115.05,1232.635,SHAVE,1
RK2,CLAW,116.42,1306.89,CLAW,1
RK2,STARK,117.005,1317.225,STARK,1
RK2,SPAN,118.49,1447.14,SPAN,1
RK2,HOSTEL,116.59,1517.29,HOTEL,0
RK2,SNAP,116.955,1494.915,SNAP,1
