participant,DelayedWord,DelayedRT,Studied,StudyPosition,Block,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1
CC,SPIDER,6431.67,Studied,42,3,NA,NA,NA,NA,NA,NA
CC,GREAT,5038.815,NA,NA,NA,NA,13,Related,GIFT,PRESENT,NA
CC,DUSTY,2999.515,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,DIRTY,1215.665,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,OSTRICH,3063.355,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,PAPER,2083.945,Studied,10,4,NA,7,Related,TWICE,ONCE,NA
JL,CLOSE,7784.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,CHILL,1531.575,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,OCTOPUS,2554.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,HAIR,5901.685,Studied,6,1,Identical,4,Related,GOWN,DRESS,NA
JL,EYES,3867.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,OCEAN,2098.255,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,TREE,7301.205,Studied,17,1,NA,"14,13",Unrelated,SEEK,NA,ACORN
JL,CHURCH,4183.735,Studied,32,1,NA,11,Related,TART,SOUR,NA
JL,WA,8000.545,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,WATER,1685.56,Studied,16,4,NA,NA,NA,NA,NA,BOAT
JL,UP,8001.335,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,COPY,2067.435,Studied,8,4,NA,5,Identical,FRONT,NA,NA
JL,STREAM,4917.49,NA,NA,NA,Unrelated,NA,NA,NA,NA,NA
JL,RUDE,2075.895,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,HILL,2999.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,PAPER,1170.255,Studied,10,4,NA,7,Related,TWICE,ONCE,NA
JL,CANDY,8001.155,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,GRASS,2267.8,NA,NA,NA,Unrelated,NA,NA,NA,NA,NA
JL,BOARD,8004.2,Studied,14,1,Identical,"12,41",Identical,LAUGH,NA,NA
JL,CARD,3705.31,Studied,30,2,NA,NA,NA,NA,NA,CHARGE
JL,HELLO,1502.26,Studied,41,4,NA,1,firstword,firstword,NA,NA
JL,BOX,3750.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,NEW,8001.855,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,LEAVE,8014.115,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,DOG,3801.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,BAG,8002.725,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,FRIDGE,8002.185,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,RICE,7998.355,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,COFFEE,8000.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,PLASTIC,6801.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,TRASH,6030.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,PHONE,8003.065,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,SPEAK,8000.685,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,CHAIR,1516.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,CHIP,2000.075,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,SHIRT,7999.825,Studied,25,3,NA,NA,NA,NA,NA,BLOUSE
JL,PENCIL,8000.63,Studied,23,4,NA,38,Related,SHRINK,SMALL,ERASER
JL,CAP,8000.795,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,CLOCK,8000.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,TRACK,8000.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,CHARGER,8000.705,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,CHESS,4699.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,GRID,1966.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,MOUSE,3032.645,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,TRAIN,2046.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,THANKS,6200.37,Studied,5,2,NA,12,Identical,MANY,NA,NA
JL,WRAP,4833.585,NA,NA,NA,NA,NA,NA,NA,NA,NA
JL,KNIT,948.905,Studied,21,3,NA,8,Unrelated,RIGHT,NA,NA
JL,KNIFE,3567.85,Studied,29,2,NA,"11,32",Unrelated,QUEEN,NA,NA
JL,QUIT,3766.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
