Participant,DelayedWord,DelayedRT,Studied,StudyPosition,Block,RecalledonDay1,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrimeCondtion,Prime,PrimePosition,PrimeBlock
SK2,TENNIS,1656.975,Studied,41,4,Recalled,NA,10,Unrelated,PROBLEM,NA,NA,unrelated,,,
SK2,SKIP,3475.025,Not Studied,NA,NA,Recalled,Related,"7,34",Unrelated,MAGIC,NA,NA,unrelated,,,
SK2,SOAP,2125.19,Studied,6,4,Recalled,NA,8,Related,ABDUCT,KIDNAP,NA,unrelated,,,
SK2,BUCKET,903.61,Studied,2,4,Recalled,NA,9,Related,QUENCH,THIRST,NA,unrelated,,,
SK2,WILD,1938.01,Studied,38,4,Recalled,NA,14,Identical,STATES,NA,NA,unrelated,,,
SK2,SPIDER,763.2599999,Studied,11,4,Recalled,NA,15,Identical,ARGUE,NA,NA,unrelated,,,
SK2,LEAVES,5349.885,Studied,2,1,Recalled,NA,4,Unrelated,POTATO,NA,NA,unrelated,,,
SK2,BEACH,7568.975,Studied,1,2,Recalled,Identical,24,Unrelated,BIKE,NA,NA,identical,beach,8,2
SK2,LOOK,5312.14,Studied,19,4,Recalled,Identical,32,Identical,LOOK,NA,NA,identical,look,32,4
SK2,BUTTER,5434.13,Studied,42,4,Recalled,Identical,13,Unrelated,SOUR,NA,NA,identical,butter,5,4
SK2,LAMP,1437.495,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,UNCLE,1255.645,Studied,34,1,Recalled,NA,10,Identical,CORAL,NA,NA,unrelated,,,
SK2,MEAN,1235.795,Studied,33,1,Recalled,NA,9,Related,GUYS,GIRLS,HARSH,related,harsh,7,1
SK2,QUEEN,840.5500001,Studied,8,1,Recalled,NA,8,Unrelated,SHERIFF,NA,NA,unrelated,,,
SK2,SCARY,2969.64,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,RING,671.9599999,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,SHORT,953.425,Studied,17,1,NotRecalled,Identical,NA,NA,NA,NA,NA,identical,short,42,1
SK2,KEYS,2859.495,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,WATER,1722.385,Not Studied,NA,NA,Recalled,Unrelated,34,Identical,MINUTE,NA,NA,unrelated,,,
SK2,DRINK,758.8000001,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,TIME,2408.045,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,related,clock,1,1
SK2,TALL,6786.185,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,related,short,42,2
SK2,PAPER,1677.465,Not Studied,NA,NA,Recalled,Unrelated,29,Related,PUSH,SHOVE,NA,unrelated,,,
SK2,IMAGE,7098.76,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,CAMERA,1949.69,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,related,picture,23,3
SK2,PHOTO,593.97,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,STUDY,5941.18,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,WHITE,2516.295,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,related,black,19,3
