,MeanRT_NoPrime,MeanRT_Identical,MeanRT_Related,MeanRT_Unrelated,MeanRT_Total,StDevRT_Total,MeanZ,MeanZ_NP,MeanZ_Identical,MeanZ_Related,MeanZ_Unrelated
16,2375.468333,1698.850833,1793.698333,2340.95375,2028.343485,1209.693962,-2.46E-18,0.286952617,-0.272376867,-0.193970673,0.258420952
17,3041.8425,1726.573977,1889.221757,1733.198382,1823.248529,949.8314311,-8.99E-17,1.282958145,-0.101780747,0.069457827,-0.094806451
18,2200.35125,2041.659545,1964.662632,1713.3175,1921.484925,1149.978055,4.16E-17,0.242497084,0.104501664,0.037546548,-0.181018607
19,7999.005,7949.236212,8001.0928,7999.305,7981.228876,703.3164694,1.11E-16,0.025274715,-0.045488291,0.028243223,0.025701266
20,2052.8175,2578.988226,1718.759643,1560.259487,1932.698971,1539.966087,-5.17E-17,0.078000763,0.41967759,-0.138924701,-0.241849146
21,1500.89875,1961.325,2520.426563,2535.983864,2307.753333,2450.340697,1.05E-16,-0.329282611,-0.141379659,0.08679333,0.093142366
22,3818.685,1669.101061,1833.278519,2042.616667,1897.215057,1128.464954,3.66E-17,1.702728947,-0.202145398,-0.056657975,0.128849025
23,1704.626667,2644.580455,2179.672632,2247.858,2338.524844,1475.294455,3.41E-17,-0.4296757,0.207453915,-0.10767492,-0.061456778
24,1278.53875,1525.366429,1944.208,2092.714516,1853.591898,1238.902366,3.20E-18,-0.464163411,-0.264932475,0.073142246,0.193011673
25,3622.026667,1585.708519,1224.773095,1793.140625,1632.4776,1128.962994,2.71E-17,1.762280143,-0.041426585,-0.361131859,0.142310267
26,1300,1901.029412,2334.304348,2426.8,2157.450549,1847.132049,9.64E-17,-0.464206417,-0.138821227,0.095745076,0.145820355
27,1097.8225,1643.185366,1354.118056,1437.345556,1467.605926,910.5346853,-2.08E-17,-0.406116793,0.192831138,-0.124638712,-0.033233627
28,2799.6375,4195.157083,4122.506053,4483.607292,4194.598732,2828.085668,-4.45E-17,-0.493252821,0.000197431,-0.025491689,0.102192293
29,1552.2975,2156.370897,1967.219324,2042.699324,2039.954231,1126.442729,7.69E-17,-0.432917465,0.103348944,-0.064570443,0.002436958
30,1008.7325,1545.059783,1446.165385,1802.545625,1587.342441,1337.867975,-6.68E-17,-0.432486577,-0.031604507,-0.105523907,0.160855322
31,2278.105,2498.648333,2040.520909,1455.924091,1933.633167,1480.527624,-1.11E-17,0.232668292,0.381630952,0.07219571,-0.322661373
32,2083.3425,1674.512222,2593.451667,1825.557826,2022.767564,1171.018218,-6.60E-17,0.051728432,-0.297395324,0.487340072,-0.16840877
33,1879.89625,1908.158111,2179.468333,2026.50275,2030.415878,718.5934086,6.33E-17,-0.209464248,-0.170134829,0.20742252,-0.005445538
34,4676.458333,4175.074878,4578.868857,5402.321548,4730.292231,2605.076582,1.38E-16,-0.020664996,-0.213128995,-0.058126266,0.257969121
35,7997.41375,8000.418077,7997.420769,7999.785357,7999.136369,8.148181013,-1.06E-14,-0.211411485,0.157299878,-0.210550037,0.079648218
36,3352.89875,5544.375,4995.741667,4350.435556,4699.813519,3264.969019,-4.10E-18,-0.412535237,0.258673659,0.090637353,-0.107008048
37,4621.195,2635.422,2709.290833,3000.04,2979.762692,1993.510408,-2.42E-18,0.82338788,-0.172730822,-0.135676171,0.010171659
38,1914.71625,1777.597917,1720.592679,2037.680909,1837.522949,1349.423858,-4.13E-17,0.057204637,-0.044407865,-0.086651996,0.148328458
39,2079.605,2960.864615,4237.939118,3000.190303,3385.537216,2603.571727,6.18E-18,-0.501592563,-0.163111543,0.327397126,-0.148007028
40,2844.90625,2726.401,3310.995484,2897.757419,2975.447865,1849.961421,2.57E-17,-0.070564506,-0.134622734,0.181380874,-0.041995711
41,3109.34,1761.7955,2007.160625,1983.999697,1946.069554,1232.131493,1.12E-17,0.944112258,-0.149557134,0.049581616,0.030784168
42,2580.3,2969.246875,2506.0175,3148.359722,2850.141786,1647.91078,8.96E-17,-0.163747813,0.072276419,-0.208824586,0.180967283
43,1824.1975,1661.467881,2165.417927,1944.025,1889.843322,1020.002544,5.67E-17,-0.064358489,-0.223896933,0.270170507,0.05311916
44,1121.875,1132.071,1397.825952,1345.2554,1273.632922,755.2621442,1.30E-16,-0.200934104,-0.187434155,0.164436986,0.094831283
45,7994.203333,7994.404375,7996.94587,7994.380161,7995.109321,6.346294379,-1.59E-14,-0.14275853,-0.111079938,0.289389125,-0.114895347
46,2237.04875,2350.948,2044.601346,2556.823704,2321.443196,1254.792862,-1.76E-16,-0.067257671,0.023513685,-0.22062753,0.187585151
47,2029.82375,1215.217391,1285.766563,1290.521029,1302.05957,466.4229087,1.12E-16,1.560309681,-0.186187636,-0.034931834,-0.024738366
48,5833.196667,4169.990862,3451.713125,2852.871087,3631.474367,2555.117542,-5.90E-17,0.8616912,0.210759969,-0.070353414,-0.304723077
49,8001.7925,8005.513023,8003.777381,8005.790179,8004.829103,30.64318377,-9.13E-15,-0.099095531,0.022318852,-0.034321552,0.031363451
50,1588.625,2331.625208,1892.2612,1931.996724,2020.096829,1528.789989,5.07E-17,-0.282230936,0.203774476,-0.083618829,-0.057627343
Mean,3121.043492,3149.730335,3200.724493,3202.769034,3177.948525,1364.566736,-4.15076E-16,0.012715684,-0.03853894,0.01084105,0.032199567
